No,Category,Seller ~ Barang,Terjual,Price,Omzet
4,laptop-aksesoris,888~meja-laptop-2-cooling-pad,1200,89999,107998800
5,laptop-aksesoris,ELLEXUSSHOP~e-tablemeja-computer,717,88500,63454500
6,laptop-aksesoris,lavishop~meja-laptop-portable-e-table,538,92500,49765000
7,laptop-aksesoris,duniaspeaker~meja-laptop-portable,357,92000,32844000
8,laptop-aksesoris,zenon~meja-laptop-portable-with-2-fan-cooler,310,91000,28210000
9,laptop-aksesoris,lhenyshop~meja-laptop-portable,326,92000,29992000
10,laptop-aksesoris,u888~meja-laptop-2-cooling-pad,656,120000,78720000
11,laptop-aksesoris,grosirecer~ac-duduk-mini-portable-fragrance-handy-cooler-bladeless-fan-kipas-angin-conditioner-aroma-terapi-barang-unik-aksesoris-laptop,453,52000,23556000
12,laptop-aksesoris,palugada~t04-portable-compact-desk-with-fan-cup-holder-mouse-pad-pen-standingwarna-putih,279,90000,25110000
13,laptop-aksesoris,suminishop~meja-laptop-portable,218,91000,19838000
14,laptop-aksesoris,dbestcompushop~notebook-keyboard-protector,401,5000,2005000
15,laptop-aksesoris,berkualitasshop~exhaust-fan-cooler-strong-cool,217,80000,17360000
16,laptop-aksesoris,lavidaz~meja-laptop-portable-e-table-1,194,92500,17945000
17,laptop-aksesoris,ramayanagrosir~cover-pelindung-keyboard-notebook,357,5250,1874250
18,laptop-aksesoris,zahralheny~meja-laptop-portable,185,89000,16465000
19,laptop-aksesoris,palugada~keyboard-protector-notebook-bening-transparan-14-inch,662,10000,6620000
20,laptop-aksesoris,ravensville~meja-laptop-lipat,156,100000,15600000
21,laptop-aksesoris,acckomputer~keyboard-protector-notebook-bening-transparan-14-inch,621,6000,3726000
22,laptop-aksesoris,ELLEXUSSHOP~keyboard-protector-10-14-universal,469,1850,867650
23,laptop-aksesoris,acckomputer~filter-lcd-laptop-screen-guard-141-inch-169,384,9000,3456000
24,laptop-aksesoris,palugada~filter-lcd-laptop-screen-guard-141-inch,215,10000,2150000
25,laptop-aksesoris,cyberkomputer~keyboard-laptop-acer-aspire-one-532h-d255-d257-d260-d270-522,154,85000,13090000
26,laptop-aksesoris,casetablet~meja-laptop-portable-e-table,137,90000,12330000
27,laptop-aksesoris,shineshop~usb-vacum-cleaner,193,14000,2702000
28,laptop-aksesoris,acckomputer~skin-protector-notebook-bening,234,12500,2925000
29,laptop-aksesoris,neo-store~flashdisk-samsung-32gb-original-99-kw-2gb-4gb-8gb-16gb-32gb,361,32500,11732500
30,laptop-aksesoris,JAYAPEDIA~meja-laptop-etable-cooler-pad-etable-cooling-pad-murah,115,88500,10177500
1,komputer-aksesoris,goldendream~lampu-led-usb-ultra-mini-lampu-malam-lampu-camping-lampu-keyboard-lampu-laptop-senter-1,2200,4000,8800000
2,komputer-aksesoris,dbestcompushop~finger-mouse-mouse-jari-sale,559,35000,19565000
3,komputer-aksesoris,aricel~modem-wifi-4g-bolt-slim-huawei-e5372-unlock-tanpa-perdana-bolt-baru-murah,448,438889,196622272
4,komputer-aksesoris,javindocom~kabel-hdmi-sony-highspeed-2m,437,45000,19665000
5,komputer-aksesoris,miraaaaa~flashdisk-32gb-flash-disk-32-gb-kingston,550,59900,32945000
6,komputer-aksesoris,goldendream~soket-usb-kosong-tipe-jantan-usb-socket-connector-male-plug-cok-konektor-4-titik-solder,2400,2000,4800000
7,komputer-aksesoris,agnicellshop~flashdisk-64gb-flash-disk,598,79900,47780200
8,komputer-aksesoris,tokolatansa~flashdisk-toshiba-64-gb,3400,69900,237660000
9,komputer-aksesoris,palugada~usb-finger-mouse-mouse-jari-blackjual-murah,611,30000,18330000
10,komputer-aksesoris,korrner~kartu-perdana-bolt-8gb,492,74999,36899508
11,komputer-aksesoris,palugada~pc-analyzer,256,45000,11520000
12,komputer-aksesoris,antonymsiak~modem-huawei-e3276-modem-huawei-e-3276-speed-150-mbps,570,255000,145350000
13,komputer-aksesoris,goldendream~soket-usb-kosong-tipe-betina-usb-socket-connector-female-plug-cok-konektor-4-titik-solder,1300,2000,2600000
14,komputer-aksesoris,sinaronline~tomsis-bluetooth,488,30000,14640000
15,komputer-aksesoris,neo-store~card-reader-micro-to-usb,1100,2500,2750000
16,komputer-aksesoris,acckomputer~usb-finger-mouse,374,30000,11220000
17,komputer-aksesoris,goldendream~cooling-silicone-thermal-pad-penyebar-panas-untuk-cpu-dan-ic,8400,500,4200000
18,komputer-aksesoris,richstore~logitech-wireless-mouse-m-280,221,159000,35139000
19,komputer-aksesoris,888~card-reader-microsd-bisa-jadi-flashdisk,475,2600,1235000
20,komputer-aksesoris,shopvenus~logitech-wireless-mouse-b175,295,94500,27877500
21,komputer-aksesoris,888~mouse-jari-dengan-box-original,374,31999,11967626
22,komputer-aksesoris,aricel~antena-indoor-portable-modem-bolt-huawei-e5372-slim-max-4g-lte-mimo,199,169889,33807911
23,komputer-aksesoris,jerryry~usb-wifi-mini-wireless-adapter-150mbps,281,44500,12504500
24,komputer-aksesoris,ELLEXUSSHOP~kabel-hdmi-to-vga-female,261,47000,12267000
25,komputer-aksesoris,javindocom~modem-gsm-huawei-e3276-e3276s-920-4g-lte-tdd-23002600mhz-unlock-mobile-partner,248,270000,66960000
26,komputer-aksesoris,sumarsono~dummy-battery-bolt-modem-wifi-zalfa-computer,287,35000,10045000
27,komputer-aksesoris,mitraglobal~mouse-wireless-gaming-fantech-w4-6d-ftm-w529,266,69000,18354000
28,komputer-aksesoris,palugada~card-reader-usb-all-in-1-4-slot-model-flashdisk-putar,526,10000,5260000
29,komputer-aksesoris,dianprima~flashdisk-toshiba-64gb-flash-disk-toshiba-64gb,614,54800,33647200
30,komputer-aksesoris,aeriqa~card-reader-all-in-one-4-slot,910,4500,4095000
1,elektronik,multistore12~star-master-bulan-bintang-rotate-with-music,1800,50000,90000000
2,elektronik,indoshopping~mesin-jahit-mini-portable-sewing-machine-2-benang,1200,170000,204000000
3,elektronik,beststereo~spy-camera-pen,1600,92000,147200000
4,elektronik,888~spycam-pena,1700,76000,129200000
5,elektronik,multistore12~alarm-pintu-anti-maling,14000,6000,84000000
6,elektronik,pusatmp4~kipas-angin-duduk-meja-usb-mini-handheld-ac,1900,53000,100700000
7,elektronik,888~rp-4600-alarm-pintu-jendela,13000,5500,71500000
8,elektronik,dbestcompushop~mp3-kacamata,935,145000,135575000
9,elektronik,ninjazi~senter-swat-policecharger-internal-2unit-sinar-putih,2400,47000,112800000
10,elektronik,888~mp3-sport-player,1000,35500,35500000
11,elektronik,lapaklaris~penghemat-listrik-u-daya-2200-4400-watt-garansi-1-tahun,2200,80000,176000000
12,elektronik,bestshopgrosir~lampu-emergency-darurat-sensor-sentuh-stick-touch-lamp-led-n-click-mobil-lemari-indoor-outdoor-baterai-aaa-tanpa-kabel-listri,6100,6600,40260000
13,elektronik,fantasyland~lampu-tidur-proyektor-star-master-putar-musik-karakter-hello-kitty-mickey-doraemon-bulan-bintang-romantic-couple-ocean-dll,1100,59999,65998900
